Complaint ID,Product,Sub-product,Issue,State,ZIP code,Date received,Company,Company response,Timely response?,Consumer disputed?,mes
1291006,Debt collection,,Communication tactics,TX,76119.0,0 days,"Premium Asset Services, LLC",In progress,True,,3
1290580,Debt collection,Medical,Cont'd attempts collect debt not owed,TX,77479.0,0 days,Accounts Receivable Consultants Inc.,Closed with explanation,True,,3
1290564,Mortgage,FHA mortgage,"Application, originator, mortgage broker",MA,2127.0,0 days,RBS Citizens,Closed with explanation,True,Yes,3
1291615,Credit card,,Other,CA,92592.0,0 days,Navy FCU,In progress,True,,3
1292165,Debt collection,Non-federal student loan,Cont'd attempts collect debt not owed,OH,43068.0,0 days,Transworld Systems Inc.,In progress,True,,3
1291176,Debt collection,Payday loan,Communication tactics,OH,43068.0,0 days,ACE Cash Express Inc.,In progress,True,,3
1288848,Consumer loan,Installment loan,Managing the loan or lease,OH,44241.0,0 days,"CashCall, Inc.",Closed with explanation,True,Yes,3
1288788,Debt collection,Payday loan,Communication tactics,CA,95124.0,0 days,ACE Cash Express Inc.,Closed with explanation,True,,3
1288324,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,NJ,7067.0,0 days,"Credit Protection Association, L.P.",Closed with non-monetary relief,True,,3
1288304,Debt collection,Payday loan,Taking/threatening an illegal action,TX,77433.0,0 days,Cottonwood Financial Ltd.,Closed with explanation,True,Yes,3
1289772,Debt collection,"Other (phone, health club, etc.)",False statements or representation,ND,58237.0,0 days,Niagara Portfolio Solutions LLC,Closed with explanation,True,,3
1288903,Bank account or service,Other bank product/service,Deposits and withdrawals,RI,2893.0,0 days,Santander Bank US,In progress,True,,3
1289633,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,CO,80301.0,0 days,"FAIR COLLECTIONS & OUTSOURCING, INC.",Closed with explanation,True,,3
1289273,Payday loan,,Can't contact lender,TX,78205.0,0 days,ACE Cash Express Inc.,In progress,True,,3
1289900,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,UT,84405.0,0 days,Account Liquidation Services Inc.,Closed with non-monetary relief,True,Yes,3
1290486,Debt collection,,Disclosure verification of debt,AL,36756.0,1 days,"Expert Global Solutions, Inc.",In progress,True,,3
1289049,Debt collection,"Other (phone, health club, etc.)",False statements or representation,PA,19140.0,0 days,"Mercantile Adjustment Bureau, LLC",Closed with explanation,True,,3
1288962,Debt collection,Medical,Cont'd attempts collect debt not owed,TX,77099.0,0 days,"Amsher Collection Services, Inc.",Closed with explanation,True,,3
1289394,Debt collection,"Other (phone, health club, etc.)",Communication tactics,CA,92069.0,0 days,"Recovery One, LLC",Closed with explanation,True,,3
1288148,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,NY,10470.0,0 days,"CMRE Financial Services, Inc.",Closed with explanation,True,,3
1288098,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",NC,28110.0,0 days,Flagstar Bank,In progress,True,,3
1288375,Debt collection,"Other (phone, health club, etc.)",Improper contact or sharing of info,GA,30058.0,0 days,Rent Recovery Solutions,Closed with explanation,True,,3
1289844,Debt collection,,Improper contact or sharing of info,IL,60411.0,0 days,"Municipal Collections Services, Inc.",Closed with explanation,True,Yes,3
1290474,Debt collection,Payday loan,Communication tactics,CA,92592.0,1 days,ACE Cash Express Inc.,Closed with explanation,True,,3
1286761,Consumer loan,Vehicle loan,Problems when you are unable to pay,WI,53183.0,0 days,Ally Financial Inc.,In progress,True,,3
1286755,Bank account or service,Checking account,"Account opening, closing, or management",IL,60628.0,1 days,JPMorgan Chase,Closed with explanation,True,,3
1286639,Credit reporting,,Incorrect information on credit report,MI,48091.0,0 days,TransUnion,Closed with explanation,True,,3
1286559,Debt collection,Credit card,Cont'd attempts collect debt not owed,FL,33990.0,0 days,"Expert Global Solutions, Inc.",In progress,True,,3
1286777,Bank account or service,Checking account,"Account opening, closing, or management",FL,32713.0,1 days,Wells Fargo,Closed with explanation,True,,3
1287586,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",CA,95032.0,0 days,"Bayview Loan Servicing, LLC",In progress,True,,3
1287135,Debt collection,Medical,Cont'd attempts collect debt not owed,CT,6611.0,0 days,"CCS Financial Services, Inc.",Closed with explanation,True,Yes,3
1287567,Debt collection,Medical,False statements or representation,OR,97233.0,0 days,"CMRE Financial Services, Inc.",In progress,True,,3
1287501,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,GA,30518.0,0 days,"Aldous & Associates, PLLC",Closed with explanation,True,,3
1288242,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",CA,91205.0,1 days,"Bayview Loan Servicing, LLC",In progress,True,,3
1288281,Debt collection,"Other (phone, health club, etc.)",False statements or representation,VA,22180.0,1 days,"Debt Recovery Solutions, LLC",Closed with explanation,True,,3
1289846,Credit reporting,,Incorrect information on credit report,WA,98502.0,1 days,TransUnion,Closed with explanation,True,,3
1289847,Credit reporting,,Incorrect information on credit report,WA,98502.0,1 days,TransUnion,Closed with explanation,True,,3
1289788,Consumer loan,Vehicle loan,Problems when you are unable to pay,PA,19149.0,1 days,Ally Financial Inc.,In progress,True,,3
1288284,Debt collection,Credit card,Taking/threatening an illegal action,TN,38305.0,1 days,"Fenton & McGarvey Law Firm, P.S.C.",Closed with explanation,True,,3
1286791,Money transfers,Domestic (US) money transfer,Other transaction issues,AL,35115.0,0 days,MoneyGram,In progress,True,,3
1287677,Credit reporting,,Credit reporting company's investigation,MI,48334.0,0 days,"Early Warning Services, LLC",Closed with explanation,True,,3
1288263,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",WI,53579.0,1 days,BMO Harris,Closed with explanation,True,,3
1287783,Credit card,,Delinquent account,PA,19406.0,0 days,Amex,Closed with explanation,True,Yes,3
