State,Capital City,ZIP Codes
Alabama (AL),Montgomery,35004 to 36925
Alaska (AK),Juneau,99501 to 99950
Arizona (AZ),Phoenix,85001 to 86556
Arkansas (AR),Little Rock,71601 to 72959
California (CA),Sacramento,90001 to 96162
Colorado (CO),Denver,80001 to 81658
Connecticut (CT),Hartford,6001 to 6928
Delaware (DE),Dover,19701 to 19980
Florida (FL),Tallahassee,32003 to 34997
Georgia (GA),Atlanta,30002 to 39901
Hawaii (HI),Honolulu,96701 to 96898
Idaho (ID),Boise,83201 to 83888
Illinois (IL),Springfield,60001 to 62999
Indiana (IN),Indianapolis,46001 to 47997
Iowa (IA),Des Moines,50001 to 52809
Kansas (KS),Topeka,66002 to 67954
Kentucky (KY),Frankfort,40003 to 42788
Louisiana (LA),Baton Rouge,70001 to 71497
Maine (ME),Augusta,3901 to 4992
Maryland (MD),Annapolis,20601 to 21930
Massachusetts (MA),Boston,1001 to 5544
Michigan (MI),Lansing,48001 to 49971
Minnesota (MN),Saint Paul,55001 to 56763
Mississippi (MS),Jackson,38601 to 39776
Missouri (MO),Jefferson City,63001 to 65899
Montana (MT),Helena,59001 to 59937
Nebraska (NE),Lincoln,68001 to 69367
Nevada (NV),Carson City,88901 to 89883
New Hampshire (NH),Concord,3031 to 3897
New Jersey (NJ),Trenton,7001 to 8989
New Mexico (NM),Santa Fe,87001 to 88441
New York (NY),Albany,501 to 14925
North Carolina (NC),Raleigh,27006 to 28909
North Dakota (ND),Bismarck,58001 to 58856
Ohio (OH),Columbus,43001 to 45999
Oklahoma (OK),Oklahoma City,73001 to 74966
Oregon (OR),Salem,97001 to 97920
Pennsylvania (PA),Harrisburg,15001 to 19640
Rhode Island (RI),Providence,2801 to 2940
South Carolina (SC),Columbia,29001 to 29945
South Dakota (SD),Pierre,57001 to 57799
Tennessee (TN),Nashville,37010 to 38589
Texas (TX),Austin,73301 to 88595
Utah (UT),Salt Lake City,84001 to 84791
Vermont (VT),Montpelier,5001 to 5907
Virginia (VA),Richmond,20101 to 24658
Washington (WA),Olympia,98001 to 99403
West Virginia (WV),Charleston,24701 to 26886
Wisconsin (WI),Madison,53001 to 54990
Wyoming (WY),Cheyenne,82001 to 83128
